iteration,device,local,remote,total
45,Device4,192,6,186
45,Device5,192,0,192
46,Device1,64,3,61
46,Device2,128,37,91
46,Device3,192,-46,238
46,Device4,192,6,186
46,Device5,192,0,192
47,Device1,64,3,61
47,Device2,128,38,90
47,Device3,192,-47,239
47,Device4,192,6,186
47,Device5,192,0,192
48,Device1,64,3,61
48,Device2,128,38,90
48,Device3,192,-48,240
48,Device4,192,7,185
48,Device5,192,0,192
49,Device1,64,3,61
49,Device2,128,38,90
49,Device3,192,-49,241
49,Device4,192,8,184
49,Device5,192,0,192
50,Device1,64,3,61
50,Device2,128,39,89
50,Device3,192,-50,242
50,Device4,192,8,184
50,Device5,192,0,192
51,Device1,64,3,61
51,Device2,128,39,89
51,Device3,192,-51,243
51,Device4,192,9,183
51,Device5,192,0,192
52,Device1,64,3,61
52,Device2,128,40,88
52,Device3,192,-52,244
52,Device4,192,9,183
52,Device5,192,0,192
53,Device1,64,4,60
53,Device2,128,40,88
53,Device3,192,-53,245
53,Device4,192,9,183
53,Device5,192,0,192
54,Device1,64,4,60
54,Device2,128,40,88
54,Device3,192,-54,246
54,Device4,192,10,182
54,Device5,192,0,192
55,Device1,64,4,60
55,Device2,128,41,87
55,Device3,192,-55,247
55,Device4,192,10,182
55,Device5,192,0,192
56,Device1,64,4,60
56,Device2,128,41,87
56,Device3,192,-56,248
56,Device4,192,11,181
56,Device5,192,0,192
57,Device1,64,4,60
57,Device2,128,42,86
57,Device3,192,-57,249
57,Device4,192,11,181
57,Device5,192,0,192
58,Device1,64,4,60
58,Device2,128,42,86
58,Device3,192,-58,250
58,Device4,192,12,180
58,Device5,192,0,192
59,Device1,64,5,59
59,Device2,128,42,86
59,Device3,192,-59,251
59,Device4,192,12,180
59,Device5,192,0,192
60,Device1,64,5,59
60,Device2,128,43,85
60,Device3,192,-60,252
60,Device4,192,12,180
60,Device5,192,0,192
61,Device1,64,5,59
61,Device2,128,43,85
61,Device3,192,-61,253
61,Device4,192,13,179
61,Device5,192,0,192
62,Device1,64,5,59
62,Device2,128,43,85
62,Device3,192,-62,254
62,Device4,192,14,178
62,Device5,192,0,192
63,Device1,64,5,59
63,Device2,128,44,84
63,Device3,192,-63,255
63,Device4,192,14,178
63,Device5,192,0,192
64,Device1,64,5,59
64,Device2,128,44,84
64,Device3,192,-64,256
64,Device4,192,15,177
64,Device5,192,0,192
65,Device1,64,5,59
65,Device2,128,45,83
65,Device3,192,-65,257
65,Device4,192,15,177
65,Device5,192,0,192
66,Device1,64,6,58
66,Device2,128,45,83
66,Device3,192,-66,258
66,Device4,192,15,177
66,Device5,192,0,192
67,Device1,64,6,58
67,Device2,128,45,83
67,Device3,192,-67,259
67,Device4,192,16,176
67,Device5,192,0,192
68,Device1,64,6,58
68,Device2,128,46,82
68,Device3,192,-68,260
68,Device4,192,16,176
68,Device5,192,0,192
69,Device1,64,6,58
69,Device2,128,46,82
69,Device3,192,-69,261
69,Device4,192,17,175
69,Device5,192,0,192
70,Device1,64,6,58
70,Device2,128,47,81
70,Device3,192,-70,262
70,Device4,192,17,175
70,Device5,192,0,192
71,Device1,64,6,58
71,Device2,128,47,81
71,Device3,192,-71,263
71,Device4,192,18,174
71,Device5,192,0,192
72,Device1,64,7,57
72,Device2,128,47,81
72,Device3,192,-72,264
72,Device4,192,18,174
72,Device5,192,0,192
73,Device1,64,7,57
73,Device2,128,48,80
73,Device3,192,-73,265
73,Device4,192,18,174
73,Device5,192,0,192
74,Device1,64,7,57
74,Device2,128,48,80
74,Device3,192,-74,266
74,Device4,192,19,173
74,Device5,192,0,192
75,Device1,64,7,57
75,Device2,128,48,80
75,Device3,192,-75,267
75,Device4,192,20,172
75,Device5,192,0,192
76,Device1,64,7,57
76,Device2,128,49,79
76,Device3,192,-76,268
76,Device4,192,20,172
76,Device5,192,0,192
77,Device1,64,7,57
77,Device2,128,49,79
77,Device3,192,-77,269
77,Device4,192,21,171
77,Device5,192,0,192
78,Device1,64,7,57
78,Device2,128,50,78
78,Device3,192,-78,270
78,Device4,192,21,171
78,Device5,192,0,192
79,Device1,64,8,56
79,Device2,128,50,78
79,Device3,192,-79,271
79,Device4,192,21,171
79,Device5,192,0,192
80,Device1,64,8,56
80,Device2,128,50,78
80,Device3,192,-80,272
80,Device4,192,22,170
80,Device5,192,0,192
81,Device1,64,8,56
81,Device2,128,51,77
81,Device3,192,-81,273
81,Device4,192,22,170
81,Device5,192,0,192
82,Device1,64,8,56
82,Device2,128,51,77
82,Device3,192,-82,274
82,Device4,192,23,169
82,Device5,192,0,192
83,Device1,64,8,56
83,Device2,128,52,76
83,Device3,192,-83,275
83,Device4,192,23,169
83,Device5,192,0,192
84,Device1,64,8,56
84,Device2,128,52,76
84,Device3,192,-84,276
84,Device4,192,24,168
84,Device5,192,0,192
85,Device1,64,9,55
85,Device2,128,52,76
85,Device3,192,-85,277
85,Device4,192,24,168
85,Device5,192,0,192
86,Device1,64,9,55
86,Device2,128,53,75
86,Device3,192,-86,278
86,Device4,192,24,168
86,Device5,192,0,192
87,Device1,64,9,55
87,Device2,128,53,75
87,Device3,192,-87,279
87,Device4,192,25,167
87,Device5,192,0,192
88,Device1,64,9,55
88,Device2,128,53,75
88,Device3,192,-88,280
88,Device4,192,26,166
88,Device5,192,0,192
89,Device1,64,9,55
89,Device2,128,54,74
89,Device3,192,-89,281
89,Device4,192,26,166
89,Device5,192,0,192
90,Device1,64,9,55
90,Device2,128,54,74
90,Device3,192,-90,282
90,Device4,192,27,165
90,Device5,192,0,192
91,Device1,64,9,55
91,Device2,128,55,73
91,Device3,192,-91,283
91,Device4,192,27,165
91,Device5,192,0,192
92,Device1,64,10,54
92,Device2,128,55,73
92,Device3,192,-92,284
92,Device4,192,27,165
92,Device5,192,0,192
93,Device1,64,10,54
93,Device2,128,55,73
93,Device3,192,-93,285
93,Device4,192,28,164
93,Device5,192,0,192
94,Device1,64,10,54
94,Device2,128,56,72
94,Device3,192,-94,286
94,Device4,192,28,164
94,Device5,192,0,192
95,Device1,64,10,54
95,Device2,128,56,72
95,Device3,192,-95,287
95,Device4,192,29,163
95,Device5,192,0,192
96,Device1,64,10,54
96,Device2,128,57,71
96,Device3,192,-96,288
96,Device4,192,29,163
96,Device5,192,0,192
97,Device1,64,10,54
97,Device2,128,57,71
97,Device3,192,-97,289
97,Device4,192,30,162
97,Device5,192,0,192
98,Device1,64,11,53
98,Device2,128,57,71
98,Device3,192,-98,290
98,Device4,192,30,162
98,Device5,192,0,192
99,Device1,64,11,53
99,Device2,128,58,70
99,Device3,192,-99,291
99,Device4,192,30,162
99,Device5,192,0,192
100,Device1,64,11,53
100,Device2,128,58,70
100,Device3,192,-100,292
100,Device4,192,31,161
100,Device5,192,0,192
101,Device1,64,11,53
101,Device2,128,58,70
101,Device3,192,-101,293
101,Device4,192,32,160
101,Device5,192,0,192
102,Device1,64,11,53
102,Device2,128,59,69
102,Device3,192,-102,294
102,Device4,192,32,160
102,Device5,192,0,192
103,Device1,64,11,53
103,Device2,128,59,69
103,Device3,192,-103,295
103,Device4,192,33,159
103,Device5,192,0,192
104,Device1,64,11,53
104,Device2,128,60,68
104,Device3,192,-104,296
104,Device4,192,33,159
104,Device5,192,0,192
105,Device1,64,12,52
105,Device2,128,60,68
105,Device3,192,-105,297
105,Device4,192,33,159
105,Device5,192,0,192
106,Device1,64,12,52
106,Device2,128,60,68
106,Device3,192,-106,298
106,Device4,192,34,158
106,Device5,192,0,192
107,Device1,64,12,52
107,Device2,128,61,67
107,Device3,192,-107,299
107,Device4,192,34,158
107,Device5,192,0,192
108,Device1,64,12,52
108,Device2,128,61,67
108,Device3,192,-108,300
108,Device4,192,35,157
108,Device5,192,0,192
109,Device1,64,12,52
109,Device2,128,62,66
109,Device3,192,-109,301
109,Device4,192,35,157
109,Device5,192,0,192
110,Device1,64,12,52
110,Device2,128,62,66
110,Device3,192,-110,302
110,Device4,192,36,156
110,Device5,192,0,192
111,Device1,64,13,51
111,Device2,128,62,66
111,Device3,192,-111,303
111,Device4,192,36,156
111,Device5,192,0,192
112,Device1,64,13,51
112,Device2,128,63,65
112,Device3,192,-112,304
112,Device4,192,36,156
112,Device5,192,0,192
113,Device1,64,13,51
113,Device2,128,63,65
113,Device3,192,-113,305
113,Device4,192,37,155
113,Device5,192,0,192
114,Device1,64,13,51
114,Device2,128,63,65
114,Device3,192,-114,306
114,Device4,192,38,154
114,Device5,192,0,192
115,Device1,64,13,51
115,Device2,128,64,64
115,Device3,192,-115,307
115,Device4,192,38,154
115,Device5,192,0,192
116,Device1,64,13,51
116,Device2,128,64,64
116,Device3,192,-116,308
116,Device4,192,39,153
116,Device5,192,0,192
117,Device1,64,13,51
117,Device2,128,65,63
117,Device3,192,-117,309
117,Device4,192,39,153
117,Device5,192,0,192
118,Device1,64,14,50
118,Device2,128,65,63
118,Device3,192,-118,310
118,Device4,192,39,153
118,Device5,192,0,192
119,Device1,64,14,50
119,Device2,128,65,63
119,Device3,192,-119,311
119,Device4,192,40,152
119,Device5,192,0,192
120,Device1,64,14,50
120,Device2,128,66,62
120,Device3,192,-120,312
120,Device4,192,40,152
120,Device5,192,0,192
121,Device1,64,14,50
121,Device2,128,66,62
121,Device3,192,-121,313
121,Device4,192,41,151
121,Device5,192,0,192
122,Device1,64,14,50
122,Device2,128,67,61
122,Device3,192,-122,314
122,Device4,192,41,151
122,Device5,192,0,192
123,Device1,64,14,50
123,Device2,128,67,61
123,Device3,192,-123,315
123,Device4,192,42,150
123,Device5,192,0,192
124,Device1,64,15,49
124,Device2,128,67,61
124,Device3,192,-124,316
124,Device4,192,42,150
124,Device5,192,0,192
125,Device1,64,15,49
125,Device2,128,67,61
125,Device3,192,-125,317
125,Device4,192,43,149
125,Device5,192,0,192
126,Device1,64,15,49
126,Device2,128,67,61
126,Device3,192,-126,318
126,Device4,192,44,148
126,Device5,192,0,192
127,Device1,64,15,49
127,Device2,128,67,61
127,Device3,192,-127,319
